enrollment_id,student_id,academic_year,year_of_study,faculty,module_code,module_session_type,early_wave_attendance_pct,early_wave_lms_logins,early_wave_submission_rate,mid_wave_attendance_pct,mid_wave_lms_logins,mid_wave_submission_rate,mid_wave_formative_avg,engagement_consistency_score,prerequisite_grade,final_mark,module_outcome,module_failure_label
24e78d64,SYN100340,2026,5,Health Sciences,HEA402,year,54.3,6,0.63,53.8,9,0.6,58.0,0.95,44.7,29.1,Fail,1
32cee8ad,SYN100340,2026,5,Health Sciences,HEA403,semester2,77.9,3,0.45,75.6,2,0.36,79.0,0.87,,98.4,Pass,0
b6a540b5,SYN100340,2027,6,Health Sciences,HEA401,semester2,77.2,2,0.69,49.2,0,0.59,62.0,0.86,69.9,65.3,Pass,0
286d9c44,SYN100340,2027,6,Health Sciences,HEA402,year,64.1,9,0.69,55.2,9,0.66,50.4,0.95,,58.0,Pass,0
5c9c0348,SYN100340,2027,6,Health Sciences,HEA403,semester1,57.7,4,0.38,46.9,7,0.35,46.2,0.96,47.5,66.1,Pass,0
f08c08a0,SYN100341,2022,1,Humanities,HUM101,semester2,81.6,5,0.64,76.8,5,0.6,58.0,0.95,,99.1,Pass,0
33516b57,SYN100341,2022,1,Humanities,HUM102,semester1,63.9,3,0.68,62.5,5,0.68,65.4,1.0,,78.5,Pass,0
80e0554a,SYN100341,2022,1,Humanities,HUM103,semester2,52.6,3,0.49,64.4,1,0.46,56.8,0.96,,41.8,Fail,1
1ee9e17a,SYN100341,2022,1,Humanities,HUM104,semester1,63.3,5,0.43,64.6,3,0.43,58.5,1.0,,71.8,Pass,0
57edaf07,SYN100341,2022,1,Humanities,HUM105,year,92.9,6,0.65,76.5,7,0.53,71.4,0.82,,71.8,Pass,0
10aedf60,SYN100341,2023,2,Humanities,HUM201,semester2,15.0,2,0.22,5.6,2,0.18,53.6,0.95,20.3,33.1,Fail,1
bfde4a05,SYN100341,2023,2,Humanities,HUM202,semester1,6.9,2,0.15,0.0,0,0.12,44.9,0.95,48.8,28.8,Fail,1
7d593c2b,SYN100341,2023,2,Humanities,HUM203,semester1,32.3,0,0.42,8.6,1,0.27,32.6,0.79,,42.7,Fail,1
17655d36,SYN100341,2023,2,Humanities,HUM204,semester1,26.5,3,0.45,3.1,4,0.31,41.8,0.81,60.4,22.2,Fail,1
df5d3d16,SYN100341,2023,2,Humanities,HUM205,year,28.7,0,0.35,20.9,0,0.25,35.4,0.86,34.8,23.1,Fail,1
835c0e27,SYN100342,2021,1,Health Sciences,HEA101,semester2,32.6,2,0.32,0.9,1,0.11,51.6,0.7,,46.0,Fail,1
36f4af2f,SYN100342,2021,1,Health Sciences,HEA102,semester2,6.9,2,0.03,0.0,2,0.0,35.6,0.9,,36.8,Fail,1
65781967,SYN100342,2021,1,Health Sciences,HEA103,semester1,38.9,4,0.51,28.3,2,0.38,36.2,0.82,,9.4,Fail,1
32642c81,SYN100342,2021,1,Health Sciences,HEA104,semester1,28.4,2,0.09,6.8,1,0.0,37.9,0.8,,13.0,Fail,1
9ce9f58d,SYN100342,2021,1,Health Sciences,HEA105,semester1,64.1,7,0.32,45.4,10,0.17,29.8,0.79,,42.6,Fail,1
473d5968,SYN100343,2021,1,Education,EDU101,semester1,25.0,4,0.41,12.6,6,0.36,48.8,0.93,,27.2,Fail,1
c2ad2b25,SYN100343,2021,1,Education,EDU102,semester1,36.8,5,0.37,14.0,4,0.22,25.9,0.78,,46.6,Fail,1
de70e3f3,SYN100343,2021,1,Education,EDU103,semester2,25.0,0,0.12,0.0,0,0.0,43.6,0.72,,10.9,Fail,1
57bc0a60,SYN100343,2021,1,Education,EDU104,semester1,57.9,7,0.46,40.0,6,0.32,46.0,0.8,,42.1,Fail,1
717edc9c,SYN100343,2021,1,Education,EDU105,semester1,43.6,3,0.36,24.5,0,0.2,47.9,0.76,,62.6,Pass,0
7d6619e5,SYN100343,2022,2,Education,EDU201,year,38.9,5,0.46,31.0,4,0.41,44.2,0.92,38.9,34.8,Fail,1
06de51fd,SYN100343,2022,2,Education,EDU202,semester1,43.7,6,0.46,18.6,7,0.26,29.0,0.7,31.6,26.8,Fail,1
99f7f348,SYN100343,2022,2,Education,EDU203,semester1,37.6,5,0.26,26.6,6,0.19,36.6,0.9,,68.1,Pass,0
b67cd444,SYN100343,2022,2,Education,EDU204,semester2,43.0,5,0.37,42.0,3,0.32,23.5,0.92,,54.2,Fail,1
9f67e25d,SYN100343,2022,2,Education,EDU205,semester1,6.7,1,0.15,0.0,3,0.02,21.3,0.82,50.2,50.0,Fail,1
1c51bed0,SYN100344,2022,1,Commerce,COM101,semester1,63.9,4,0.73,65.1,6,0.69,65.3,0.94,,86.7,Pass,0
789e43c6,SYN100344,2022,1,Commerce,COM102,semester1,76.7,5,0.7,74.7,8,0.7,56.3,1.0,,95.5,Pass,0
be6f5fd4,SYN100344,2022,1,Commerce,COM103,semester1,79.9,4,0.56,71.1,7,0.52,61.2,0.94,,82.6,Pass,0
7f9ab5a5,SYN100344,2022,1,Commerce,COM104,semester2,69.8,7,0.62,73.9,6,0.62,51.7,1.0,,79.4,Pass,0
1e28d25c,SYN100344,2022,1,Commerce,COM105,semester1,37.6,3,0.61,45.7,4,0.58,63.2,0.95,,93.9,Pass,0
aa3f827c,SYN100345,2021,1,Education,EDU101,semester2,31.5,3,0.38,11.1,2,0.3,66.0,0.88,,18.2,Fail,1
f59a727d,SYN100345,2021,1,Education,EDU102,semester1,52.8,2,0.38,44.1,5,0.29,51.0,0.87,,70.2,Pass,0
94a1b5bc,SYN100345,2021,1,Education,EDU103,year,51.1,4,0.26,33.4,7,0.13,58.5,0.81,,58.7,Pass,0
350277c3,SYN100345,2021,1,Education,EDU104,semester2,63.2,3,0.6,52.4,1,0.48,37.3,0.82,,74.3,Pass,0
29e39d93,SYN100345,2021,1,Education,EDU105,semester1,51.5,3,0.68,48.8,2,0.67,45.8,0.98,,79.4,Pass,0
8721f72c,SYN100346,2023,1,Science,SCI101,semester1,34.7,1,0.35,24.7,2,0.3,16.1,0.93,,33.0,Fail,1
dbb65590,SYN100346,2023,1,Science,SCI102,semester1,8.4,1,0.0,0.0,4,0.0,25.2,0.79,,47.8,Fail,1
ca82cabb,SYN100346,2023,1,Science,SCI103,semester1,4.2,0,0.0,0.0,3,0.0,47.8,0.85,,44.3,Fail,1
7aacfcab,SYN100346,2023,1,Science,SCI104,semester2,25.1,2,0.13,0.0,0,0.0,44.8,0.8,,31.8,Fail,1
122a54ec,SYN100346,2023,1,Science,SCI105,semester1,2.4,1,0.1,0.0,2,0.0,19.3,0.81,,5.2,Fail,1
4eafd927,SYN100347,2023,1,Engineering,ENG101,semester2,67.3,4,0.56,51.5,4,0.42,66.9,0.8,,64.5,Pass,0
46867024,SYN100347,2023,1,Engineering,ENG102,semester2,78.1,4,0.48,67.5,3,0.4,66.3,0.88,,99.7,Pass,0
d6517317,SYN100347,2023,1,Engineering,ENG103,semester1,60.8,4,0.52,41.8,5,0.36,43.6,0.78,,92.5,Withdrawn,0
a297e4f1,SYN100347,2023,1,Engineering,ENG104,semester2,77.3,5,0.63,75.5,4,0.58,67.1,0.93,,34.7,Fail,1
e9ff40dc,SYN100347,2023,1,Engineering,ENG105,semester2,52.9,5,0.31,43.7,7,0.22,70.4,0.87,,48.5,Fail,1
8fa936d4,SYN100347,2024,2,Engineering,ENG201,year,56.7,6,0.68,49.2,9,0.62,63.4,0.92,,78.3,Pass,0
cfd856dc,SYN100347,2024,2,Engineering,ENG202,semester1,83.0,5,0.62,65.5,3,0.53,77.2,0.87,64.7,98.3,Pass,0
77f030cd,SYN100347,2024,2,Engineering,ENG203,semester2,100.0,13,0.8,100.0,14,0.78,58.0,0.97,64.6,100.0,Pass,0
db2b1c2a,SYN100347,2024,2,Engineering,ENG204,semester1,70.4,3,0.63,67.9,4,0.63,65.8,1.0,,79.6,Pass,0
d95004f0,SYN100347,2024,2,Engineering,ENG205,semester2,42.4,7,0.66,40.1,4,0.66,48.8,1.0,66.5,97.6,Pass,0
856e820a,SYN100347,2025,3,Engineering,ENG301,semester1,63.8,8,0.78,47.7,5,0.72,60.0,0.92,91.9,87.0,Pass,0
94fbe15c,SYN100347,2025,3,Engineering,ENG302,semester1,56.5,0,0.53,57.1,0,0.49,53.8,0.96,83.7,91.9,Pass,0
7f69ac78,SYN100347,2025,3,Engineering,ENG303,year,60.3,3,0.55,49.6,2,0.5,51.0,0.94,81.2,100.0,Pass,0
3d6f73a5,SYN100347,2025,3,Engineering,ENG304,semester2,71.1,4,0.65,55.1,3,0.59,72.8,0.91,,92.7,Pass,0
f4547567,SYN100347,2026,4,Engineering,ENG401,semester1,86.5,7,1.0,67.5,5,0.96,71.7,0.94,76.2,99.8,Pass,0
5de4c086,SYN100347,2026,4,Engineering,ENG402,semester1,92.4,7,0.81,88.3,8,0.78,77.1,0.94,72.6,81.9,Pass,0
f130e10e,SYN100347,2026,4,Engineering,ENG403,semester2,84.6,6,0.6,86.4,8,0.6,84.8,1.0,,100.0,Pass,0
a6882756,SYN100348,2023,1,Commerce,COM101,semester2,63.1,4,0.52,45.0,7,0.39,55.4,0.82,,57.4,Pass,0
ba0f2d0e,SYN100348,2023,1,Commerce,COM102,semester1,75.1,4,0.45,70.1,6,0.42,31.5,0.95,,82.1,Pass,0
3d014d78,SYN100348,2023,1,Commerce,COM103,year,29.2,3,0.32,30.1,1,0.32,66.7,1.0,,78.9,Pass,0
858b4920,SYN100348,2023,1,Commerce,COM104,semester1,77.6,9,0.79,80.8,8,0.77,58.2,0.98,,87.3,Pass,0
197ecee4,SYN100348,2023,1,Commerce,COM105,year,69.7,8,0.8,54.2,5,0.7,69.3,0.85,,90.8,Withdrawn,0
ee98128d,SYN100348,2024,2,Commerce,COM201,year,100.0,8,1.0,95.5,5,1.0,64.4,1.0,75.0,81.8,Pass,0
15619e06,SYN100348,2024,2,Commerce,COM202,year,100.0,4,0.83,84.3,4,0.75,79.5,0.89,72.4,99.0,Pass,0
baa9ee71,SYN100348,2024,2,Commerce,COM203,semester2,72.1,5,0.89,67.6,5,0.83,70.2,0.92,91.8,100.0,Pass,0
bf242f39,SYN100348,2024,2,Commerce,COM204,year,65.4,6,0.54,58.4,5,0.54,77.0,1.0,,85.8,Pass,0
532d30a3,SYN100348,2024,2,Commerce,COM205,semester1,84.1,5,0.88,71.7,7,0.83,70.7,0.92,68.9,79.7,Pass,0
b9e6d01b,SYN100348,2025,3,Commerce,COM301,year,64.1,3,0.54,41.7,6,0.43,80.5,0.84,62.3,83.0,Pass,0
bced5573,SYN100348,2025,3,Commerce,COM302,semester2,35.3,9,0.58,22.1,9,0.54,78.2,0.93,59.5,100.0,Pass,0
6cc7075d,SYN100348,2025,3,Commerce,COM303,semester2,74.1,8,0.68,76.1,10,0.61,79.5,0.89,74.3,97.9,Pass,0
0c09b29b,SYN100348,2025,3,Commerce,COM304,semester1,70.9,11,0.65,66.0,10,0.65,65.7,1.0,47.3,79.8,Pass,0
841fd09b,SYN100348,2026,4,Commerce,COM401,semester1,63.0,2,0.43,55.5,0,0.38,62.3,0.93,60.0,78.0,Withdrawn,0
02cb9927,SYN100348,2026,4,Commerce,COM402,semester2,82.1,13,0.8,72.0,15,0.77,69.8,0.95,,85.4,Pass,0
cf397565,SYN100348,2026,4,Commerce,COM403,semester1,87.4,8,0.89,95.7,7,0.88,66.5,0.98,80.1,100.0,Pass,0
c8626528,SYN100348,2027,5,Commerce,COM401,semester1,97.6,7,0.77,100.0,4,0.76,75.5,0.99,86.0,100.0,Pass,0
aac74af1,SYN100348,2027,5,Commerce,COM402,semester2,65.6,5,0.73,71.9,3,0.71,79.1,0.97,85.7,100.0,Pass,0
3f141b3c,SYN100348,2027,5,Commerce,COM403,semester1,88.8,7,0.86,92.4,10,0.86,70.2,1.0,,100.0,Pass,0
d702ae90,SYN100349,2023,1,Law,LAW101,year,49.7,7,0.45,41.3,4,0.35,75.4,0.86,,88.9,Pass,0
1fa198ac,SYN100349,2023,1,Law,LAW102,semester2,54.2,4,0.51,36.7,7,0.35,63.3,0.76,,43.4,Fail,1
25e57028,SYN100349,2023,1,Law,LAW103,semester1,35.7,2,0.27,18.6,1,0.15,52.0,0.82,,65.8,Pass,0
672518cd,SYN100349,2023,1,Law,LAW104,year,50.7,3,0.45,45.3,4,0.4,58.5,0.93,,40.0,Fail,1
fb8fce4c,SYN100349,2023,1,Law,LAW105,semester2,64.9,10,0.57,52.3,12,0.42,69.2,0.79,,50.3,Fail,1
72c7e26d,SYN100350,2021,1,Humanities,HUM101,semester2,73.6,6,0.7,72.8,4,0.68,61.5,0.97,,81.2,Pass,0
f1f92ad8,SYN100350,2021,1,Humanities,HUM102,semester1,67.1,8,0.78,61.0,7,0.76,42.1,0.97,,95.0,Pass,0
4e51dbb6,SYN100350,2021,1,Humanities,HUM103,semester1,76.1,7,0.39,66.9,5,0.35,48.4,0.94,,69.8,Pass,0
95b45971,SYN100350,2021,1,Humanities,HUM104,semester1,87.9,7,0.72,90.4,9,0.71,70.6,0.98,,99.4,Pass,0
3a2bd374,SYN100350,2021,1,Humanities,HUM105,semester1,82.8,10,0.89,57.4,10,0.72,60.7,0.76,,76.9,Pass,0
46b138b0,SYN100350,2022,2,Humanities,HUM201,semester2,73.2,6,0.78,77.0,8,0.78,83.1,1.0,72.5,100.0,Pass,0
99693cea,SYN100350,2022,2,Humanities,HUM202,semester2,88.3,7,0.76,78.6,4,0.66,57.7,0.85,,100.0,Pass,0
09d7eef5,SYN100350,2022,2,Humanities,HUM203,semester2,51.5,5,0.52,47.9,4,0.46,84.5,0.92,83.4,99.9,Pass,0
6220f93a,SYN100350,2022,2,Humanities,HUM204,semester1,89.1,6,0.56,88.6,3,0.56,90.2,1.0,,100.0,Pass,0
bbf3d1c4,SYN100350,2022,2,Humanities,HUM205,semester2,100.0,7,0.95,83.4,5,0.87,93.7,0.89,,85.6,Pass,0
d6ba7ee1,SYN100350,2023,3,Humanities,HUM301,semester2,77.6,7,0.68,69.1,7,0.59,66.6,0.86,,100.0,Pass,0
7cab5831,SYN100350,2023,3,Humanities,HUM302,semester2,75.7,5,0.66,77.6,3,0.65,81.5,0.98,67.1,83.8,Pass,0
cb430592,SYN100350,2023,3,Humanities,HUM303,semester1,83.8,6,0.8,90.6,4,0.76,59.1,0.96,96.4,97.4,Pass,0
6ad194c7,SYN100350,2023,3,Humanities,HUM304,year,93.8,11,0.78,78.1,11,0.66,65.4,0.83,76.6,96.5,Pass,0
c4d33c06,SYN100351,2023,1,Education,EDU101,year,43.5,3,0.47,35.9,6,0.42,52.1,0.93,,64.0,Pass,0
e6186970,SYN100351,2023,1,Education,EDU102,semester1,35.9,4,0.5,22.2,7,0.42,56.8,0.89,,38.4,Fail,1
b5a0427a,SYN100351,2023,1,Education,EDU103,semester2,78.7,5,0.7,63.6,3,0.63,48.7,0.9,,32.0,Fail,1
e4b07dae,SYN100351,2023,1,Education,EDU104,semester1,47.1,1,0.53,23.4,3,0.38,51.5,0.78,,14.0,Fail,1
96d3b392,SYN100351,2023,1,Education,EDU105,semester2,43.0,3,0.6,22.2,0,0.48,47.2,0.82,,33.3,Fail,1
61d3eb75,SYN100351,2024,2,Education,EDU201,semester2,52.6,6,0.28,36.5,3,0.17,60.9,0.84,,69.5,Pass,0
f996f8ea,SYN100351,2024,2,Education,EDU202,year,49.0,2,0.53,18.0,4,0.46,56.4,0.89,,14.1,Fail,1
9b6a6691,SYN100351,2024,2,Education,EDU203,semester2,86.0,4,0.46,69.1,2,0.35,56.4,0.85,69.3,26.6,Fail,1
5767e594,SYN100351,2024,2,Education,EDU204,semester2,45.3,1,0.47,40.3,2,0.42,67.1,0.94,64.0,27.4,Fail,1
5d2be789,SYN100351,2024,2,Education,EDU205,semester2,64.8,0,0.45,46.3,0,0.31,43.1,0.8,,25.7,Fail,1
b85a7a8a,SYN100352,2021,1,Commerce,COM101,semester1,63.4,3,0.5,49.8,4,0.4,50.8,0.86,,38.2,Fail,1
4253c200,SYN100352,2021,1,Commerce,COM102,semester2,67.0,2,0.55,49.9,4,0.41,50.8,0.8,,86.4,Pass,0
b140e9ee,SYN100352,2021,1,Commerce,COM103,semester1,41.0,1,0.26,33.7,2,0.23,51.0,0.95,,28.8,Fail,1
11510691,SYN100352,2021,1,Commerce,COM104,semester2,28.3,3,0.28,22.4,1,0.27,41.0,0.98,,75.6,Pass,0
0afb8630,SYN100352,2021,1,Commerce,COM105,semester1,23.7,4,0.37,14.1,6,0.31,63.9,0.91,,41.6,Fail,1
a12986f3,SYN100353,2021,1,Engineering,ENG101,semester2,69.5,3,0.42,60.7,4,0.35,57.8,0.89,,89.3,Pass,0
c74c9cf3,SYN100353,2021,1,Engineering,ENG102,year,54.9,4,0.32,50.8,5,0.26,56.0,0.92,,91.2,Pass,0
3919ea67,SYN100353,2021,1,Engineering,ENG103,year,64.1,4,0.54,55.9,7,0.49,51.9,0.93,,84.0,Pass,0
f1248823,SYN100353,2021,1,Engineering,ENG104,semester2,63.6,7,0.65,60.2,9,0.61,62.2,0.95,,45.5,Fail,1
d11f6d1c,SYN100353,2021,1,Engineering,ENG105,semester2,51.8,3,0.55,47.5,5,0.55,49.3,1.0,,71.6,Pass,0
ef0a1a4d,SYN100353,2022,2,Engineering,ENG201,semester2,78.3,3,0.73,72.1,5,0.64,61.5,0.87,93.3,27.0,Fail,1
a2810297,SYN100353,2022,2,Engineering,ENG202,year,73.1,1,0.82,62.3,0,0.8,72.4,0.97,64.8,78.5,Pass,0
49965373,SYN100353,2022,2,Engineering,ENG203,semester1,66.3,5,0.67,70.0,3,0.62,76.5,0.92,70.9,100.0,Pass,0
0fab12cf,SYN100353,2022,2,Engineering,ENG204,semester1,61.0,5,0.22,46.1,6,0.17,79.0,0.92,73.6,74.9,Pass,0
1aa8d40b,SYN100353,2022,2,Engineering,ENG205,semester2,59.4,4,0.54,64.5,6,0.54,54.9,1.0,65.3,91.8,Pass,0
2452357d,SYN100353,2023,3,Engineering,ENG301,semester1,56.8,6,0.66,46.8,3,0.57,58.9,0.87,63.5,23.4,Fail,1
8906a4e3,SYN100353,2023,3,Engineering,ENG302,semester1,58.4,6,0.66,55.8,6,0.66,51.1,1.0,56.4,70.1,Pass,0
e14a8cdd,SYN100353,2023,3,Engineering,ENG303,semester1,56.5,2,0.52,53.5,4,0.46,69.3,0.92,,49.6,Fail,1
6b5d5e96,SYN100353,2023,3,Engineering,ENG304,semester1,54.2,6,0.04,46.3,6,0.02,68.5,0.98,40.6,78.4,Pass,0
f3d14326,SYN100353,2024,4,Engineering,ENG401,year,51.6,3,0.5,37.1,3,0.49,38.2,0.99,,25.0,Fail,1
9c4d53e5,SYN100353,2024,4,Engineering,ENG402,semester2,15.5,3,0.22,0.0,2,0.02,55.7,0.71,78.8,33.0,Fail,1
7c2657a8,SYN100353,2024,4,Engineering,ENG403,semester1,25.4,2,0.25,0.0,0,0.07,53.9,0.75,79.9,46.7,Fail,1
482b0536,SYN100353,2025,5,Engineering,ENG401,semester2,4.2,1,0.05,0.0,0,0.05,43.0,1.0,72.2,34.2,Fail,1
06480ca0,SYN100353,2025,5,Engineering,ENG402,semester2,54.2,2,0.3,34.2,0,0.19,65.2,0.84,52.1,29.2,Fail,1
5784f284,SYN100353,2025,5,Engineering,ENG403,semester1,49.7,2,0.45,7.4,5,0.25,24.9,0.71,52.6,24.5,Fail,1
dc19958d,SYN100353,2026,6,Engineering,ENG401,semester1,37.9,3,0.18,26.3,2,0.05,54.8,0.81,44.4,44.7,Fail,1
79f601c9,SYN100353,2026,6,Engineering,ENG402,semester1,59.7,4,0.68,34.4,3,0.55,61.9,0.81,93.7,76.0,Pass,0
0a1d2789,SYN100353,2026,6,Engineering,ENG403,semester2,30.6,2,0.21,11.1,1,0.08,27.8,0.82,44.4,68.8,Fail,1
d7608673,SYN100354,2022,1,Commerce,COM101,semester2,83.2,7,0.81,93.4,10,0.81,51.8,1.0,,92.4,Pass,0
02e6648c,SYN100354,2022,1,Commerce,COM102,semester1,82.4,4,0.7,80.5,1,0.68,72.2,0.96,,97.8,Pass,0
3b0d0f17,SYN100354,2022,1,Commerce,COM103,semester2,76.3,2,0.61,72.0,0,0.61,72.0,1.0,,88.0,Pass,0
2f58dc72,SYN100354,2022,1,Commerce,COM104,semester2,38.4,4,0.47,38.9,5,0.4,65.6,0.91,,33.8,Fail,1
994c29f7,SYN100354,2022,1,Commerce,COM105,semester1,72.3,5,0.5,52.7,4,0.41,67.7,0.87,,100.0,Pass,0
a16e7e2e,SYN100354,2023,2,Commerce,COM201,semester1,73.7,10,0.53,72.8,7,0.51,54.6,0.97,98.7,86.0,Pass,0
7320182f,SYN100354,2023,2,Commerce,COM202,semester1,76.7,3,0.6,61.4,6,0.52,60.0,0.9,48.3,94.0,Pass,0
55f207df,SYN100354,2023,2,Commerce,COM203,year,46.6,2,0.47,42.3,4,0.37,64.9,0.85,77.5,92.7,Pass,0
46e5a75b,SYN100354,2023,2,Commerce,COM204,semester2,69.5,8,0.61,65.6,7,0.61,85.1,1.0,57.7,100.0,Pass,0
92d3676a,SYN100354,2023,2,Commerce,COM205,semester1,67.4,6,0.57,57.1,5,0.54,58.5,0.96,48.8,90.2,Pass,0
af550e9d,SYN100354,2024,3,Commerce,COM301,year,78.3,6,0.77,71.5,5,0.77,54.3,1.0,67.3,24.4,Fail,1
2e58ade6,SYN100354,2024,3,Commerce,COM302,year,72.4,7,0.53,43.6,6,0.4,59.0,0.81,,99.4,Pass,0
eba974d7,SYN100354,2024,3,Commerce,COM303,semester2,80.6,3,0.65,76.9,2,0.65,72.3,1.0,,86.1,Pass,0
abea288d,SYN100354,2024,3,Commerce,COM304,semester2,59.1,8,0.56,53.6,11,0.52,58.2,0.95,74.5,93.2,Pass,0
c9c8262b,SYN100354,2025,4,Commerce,COM401,semester1,74.9,1,0.8,51.8,0,0.72,68.2,0.88,,78.3,Pass,0
6057c57e,SYN100354,2025,4,Commerce,COM402,semester2,62.7,4,0.76,40.9,3,0.6,96.0,0.77,91.9,98.4,Pass,0
c7218cdd,SYN100354,2025,4,Commerce,COM403,semester2,75.1,7,0.93,68.5,8,0.93,50.8,1.0,84.8,92.9,Pass,0
de3d3fcc,SYN100354,2026,5,Commerce,COM401,year,69.8,2,0.74,67.9,2,0.7,63.9,0.94,,89.7,Pass,0
ea5e1b66,SYN100354,2026,5,Commerce,COM402,semester2,64.3,9,0.66,76.7,6,0.66,63.1,1.0,,98.1,Pass,0
ceb8a560,SYN100354,2026,5,Commerce,COM403,semester1,63.5,6,0.5,50.5,7,0.42,79.9,0.88,,93.7,Pass,0
a1764538,SYN100355,2021,1,Commerce,COM101,semester1,98.0,7,1.0,99.1,9,0.98,80.3,0.97,,100.0,Pass,0
55986fbf,SYN100355,2021,1,Commerce,COM102,semester2,89.0,6,0.69,92.8,6,0.65,62.0,0.94,,97.7,Pass,0
337c2bf4,SYN100355,2021,1,Commerce,COM103,semester2,76.5,9,0.63,55.3,6,0.55,76.2,0.88,,100.0,Pass,0
75f69b02,SYN100355,2021,1,Commerce,COM104,semester2,100.0,9,0.89,89.9,11,0.86,84.7,0.97,,100.0,Pass,0
313e636d,SYN100355,2021,1,Commerce,COM105,semester1,90.1,6,0.82,81.7,6,0.7,68.0,0.83,,83.4,Pass,0
c4668475,SYN100355,2022,2,Commerce,COM201,semester2,65.0,7,0.56,59.8,10,0.54,85.8,0.96,34.1,43.5,Fail,1
cd47b0b7,SYN100355,2022,2,Commerce,COM202,semester1,67.0,9,0.45,58.1,10,0.4,59.0,0.94,74.9,15.8,Fail,1
07a97fb6,SYN100355,2022,2,Commerce,COM203,year,72.9,6,0.44,62.1,8,0.4,75.4,0.95,,85.5,Pass,0
66d81c16,SYN100355,2022,2,Commerce,COM204,semester1,54.8,5,0.46,49.5,2,0.43,47.7,0.95,87.0,83.4,Pass,0
695778c7,SYN100355,2022,2,Commerce,COM205,semester2,52.1,10,0.69,36.2,10,0.61,52.8,0.88,66.1,84.3,Pass,0
ba0fc56f,SYN100355,2023,3,Commerce,COM301,semester1,90.3,7,0.73,80.4,9,0.65,74.2,0.88,69.6,87.5,Pass,0
eadc915e,SYN100355,2023,3,Commerce,COM302,semester1,65.1,6,0.35,60.7,5,0.31,45.3,0.94,,85.0,Pass,0
a976e12b,SYN100355,2023,3,Commerce,COM303,semester1,60.1,9,0.41,48.5,12,0.33,67.4,0.89,,100.0,Pass,0
51da9d81,SYN100355,2023,3,Commerce,COM304,semester2,91.3,3,0.64,94.7,2,0.64,64.2,1.0,72.2,94.2,Pass,0
67ffae83,SYN100355,2024,4,Commerce,COM401,semester2,27.4,3,0.39,16.5,0,0.26,41.3,0.82,,29.7,Fail,1
62df24b9,SYN100355,2024,4,Commerce,COM402,year,39.5,6,0.43,28.8,7,0.32,58.8,0.85,50.2,66.4,Pass,0
cec4e12c,SYN100355,2024,4,Commerce,COM403,semester1,55.6,7,0.37,49.4,9,0.37,51.3,1.0,49.0,10.7,Fail,1
2f744239,SYN100355,2025,5,Commerce,COM401,year,82.5,6,0.91,78.4,8,0.79,77.1,0.84,,99.3,Pass,0
7ae88856,SYN100355,2025,5,Commerce,COM402,semester1,69.9,2,0.63,66.3,3,0.63,46.6,1.0,75.4,86.0,Pass,0
18d30783,SYN100355,2025,5,Commerce,COM403,semester2,71.1,5,0.56,64.0,3,0.44,66.2,0.84,68.7,96.6,Pass,0
87566c9a,SYN100355,2026,6,Commerce,COM401,semester2,58.1,4,0.29,40.6,7,0.17,36.0,0.82,60.2,25.6,Fail,1
32507d2c,SYN100355,2026,6,Commerce,COM402,semester2,48.5,2,0.43,26.7,0,0.28,68.2,0.79,55.5,87.7,Pass,0
1453ffa2,SYN100355,2026,6,Commerce,COM403,semester1,56.0,2,0.37,51.8,3,0.37,50.8,1.0,,57.8,Withdrawn,0
0802360f,SYN100355,2027,7,Commerce,COM401,semester2,79.2,4,0.51,73.9,5,0.51,56.8,1.0,75.9,79.8,Pass,0
862a733f,SYN100355,2027,7,Commerce,COM402,semester2,28.5,2,0.36,33.8,4,0.29,64.4,0.9,96.3,100.0,Pass,0
1520bd62,SYN100355,2027,7,Commerce,COM403,semester1,55.3,8,0.69,62.0,11,0.69,62.0,1.0,,91.8,Pass,0
c945d713,SYN100356,2023,1,Engineering,ENG101,semester2,40.0,3,0.42,21.3,3,0.26,56.5,0.77,,31.5,Fail,1
9d7102fe,SYN100356,2023,1,Engineering,ENG102,semester2,80.9,3,0.66,74.7,0,0.6,57.1,0.91,,86.5,Pass,0
c4c8cffc,SYN100356,2023,1,Engineering,ENG103,semester2,34.3,5,0.42,11.4,6,0.28,42.5,0.79,,21.7,Fail,1
d6ed0203,SYN100356,2023,1,Engineering,ENG104,semester1,54.2,4,0.54,45.2,2,0.45,40.4,0.88,,27.2,Fail,1
e72d8a8c,SYN100356,2023,1,Engineering,ENG105,semester1,41.1,2,0.37,16.4,3,0.25,58.1,0.83,,49.9,Pass,0
cee4b7c5,SYN100357,2023,1,Health Sciences,HEA101,semester1,28.0,5,0.47,28.1,8,0.46,71.9,0.99,,85.5,Pass,0
4e3bd0f8,SYN100357,2023,1,Health Sciences,HEA102,semester1,45.5,3,0.65,28.8,5,0.6,55.7,0.93,,89.9,Pass,0
11276f91,SYN100357,2023,1,Health Sciences,HEA103,semester1,49.9,6,0.26,41.3,3,0.23,77.7,0.95,,77.7,Pass,0
2f2f9fb5,SYN100357,2023,1,Health Sciences,HEA104,semester2,45.8,2,0.33,32.0,1,0.27,64.6,0.91,,31.4,Fail,1
a9ec9a53,SYN100357,2023,1,Health Sciences,HEA105,semester1,81.9,6,0.79,75.4,3,0.78,69.2,0.98,,20.1,Fail,1
